OPENADMET_INCHIKEY,LOG_CLint_HLM,CLint_HLM,LOG_CLint_RLM,CLint_RLM,LOG_CLint_MLM,CLint_MLM,OPENADMET_CANONICAL_SMILES
MEFNUCYNHDRJFW-UHFFFAOYSA-N,2.2112006620002567,162.63,,,,,COC1=CC(CCN2C=NC3=C(C4=C(CN(C(=O)C(F)(F)F)CC4)S3)C2=O)=CC(OC)=C1
MEGXYERKKPHYEW-UHFFFAOYSA-N,1.0413926851582251,11.0,,,,,CC(C)C(=O)N1CCC(C2=CC=C(N3CCOC4=NC=NC(N)=C4C3=O)C=C2)CC1
MEIBAUIZWBBTLF-GXTWGEPZSA-N,1.568788212315347,37.05,2.6424645202421213,439.0,,,CC1(C)C[C@@H](CN([C@H](CCC(F)(F)F)C(N)=O)S(=O)(=O)C2=CC=C(Cl)C=C2)O1
MEIBAUIZWBBTLF-TZMCWYRMSA-N,1.6693168805661123,46.7,,,,,CC1(C)C[C@H](CN([C@H](CCC(F)(F)F)C(N)=O)S(=O)(=O)C2=CC=C(Cl)C=C2)O1
MEKYUEZOXULJSB-HNNXBMFYSA-N,0.9030899869919435,8.0,1.7481880270062005,56.0,,,C[C@@H](C(=O)N1CCNC(C)(C)C1)N1CCC(N2C(=O)NC3=CC=CC=C32)CC1
MEKYXYYRTRSBSM-HKGQOMTBSA-N,1.1139433523068367,13.0,,,1.6232492903979006,42.0,NC1=CC=CC=C1NC(=O)/C=C/C1=CC=C([C@H]2CN(C3COC3)C[C@@H]2C(=O)NC2=CC=C(Cl)C=C2)C=C1
MELLPTHIQUBYAE-LJAQVGFWSA-N,1.7402837196818792,54.99,,,,,CCN(C(=O)CC1=CC=C(S(C)(=O)=O)C=C1)C1CCN(CC[C@@H](C2=CC=CC=C2)N2CCN(S(=O)(=O)CC(F)(F)F)CC2)CC1
MENRRRXHFQYXDW-DGCLKSJQSA-N,,,2.7993405494535817,630.0,,,N#CC1=CC=C([C@H]2CCCC[C@H]2O)C=C1C(F)(F)F
MEPKPTIQIKKNNL-FQFMIMTMSA-N,0.6901960800285137,4.9,,,,,CC(C)(C)C[C@@H]1N[C@@H](C(=O)NC2=CC=C(C(=O)O)C=C2)[C@H](C2=CC=CC(Cl)=C2F)[C@@]1(C#N)C1=CC=C(Cl)C=C1F
MESJKKLEOVJXNZ-HOMQSWHASA-N,,,,,2.765918034806236,583.335,C[C@H]1CC[C@H](NC(=O)C2=CC3=C(F)C=C(F)C=C3N2)CC1
MESJKKLEOVJXNZ-UHFFFAOYSA-N,,,,,3.530249658411309,3390.39,CC1CCC(NC(=O)C2=CC3=C(F)C=C(F)C=C3N2)CC1
MEVNCKOAEZKXHF-AWEZNQCLSA-N,0.9712758487381052,9.36,,,,,COC(=O)N1CC[C@H](N2CCC3=C(C4=CN=C(N)N=C4)N=C(N4CCOCC4)N=C32)C1
MEWDNULKAXEKII-UHFFFAOYSA-N,1.545307116465824,35.1,,,2.0077051143647804,101.79,O=C(C1=CC=CC=C1C(F)(F)F)N(CC1=CC=C(C(O)=NO)C=C1)CC1=NN=NN1CC1=CC=CC=C1
MEWKDLGRKBRJAF-DEOSSOPVSA-N,2.2723058444020863,187.2,,,,,CC(C)(C)OC(=O)N1CC[C@](C)(N2CCC3=C(C4=CN=C(N)N=C4)N=C(N4CCOCC4)N=C32)C1
MEWOMDUCJFJDGL-UHFFFAOYSA-N,0.5453071164658241,3.51,,,,,O=C(NC1=CC=C(F)C=C1)C1=CC=C(Cl)[N+]([O-])=C1
MEXAIEAJJBGPIW-UHFFFAOYSA-N,2.499549625905149,315.9,2.6866362692622934,486.0,,,CCN(CC)CC1=CN(CC(=O)NC2=C(C(N)=O)C3=C(CCCC3)S2)N=C1C(F)(F)F
MEZBSZIOMPUBDQ-UHFFFAOYSA-N,0.7671558660821804,5.85,,,,,CC1=CC=C(C2=CC(C3=CC=C(S(C)(=O)=O)C=C3)=CN=C2N)C=N1
